property_id,city,latitude,longitude,rooms,square_meters,floor_value,floor_count,building_type,build_year,centre_distance,listing_type,price
3248936f7a17a963131ee5a740c77dbe,szczecin,53.4404729,14.4900039,4.0,80.3,4.0,4.0,blockOfFlats,1998.0,5.07,sale,835000
1128933dc229be695001c17075cdefae,szczecin,53.4225,14.5406,1.0,28.2,5.0,6.0,apartmentBuilding,2012.0,1.35,sale,440000
29341b7bfcc4dec0235ef33991cb506f,szczecin,53.4580702,14.5429308,4.0,90.44,8.0,8.0,apartmentBuilding,2020.0,4.04,sale,1200000
6f08a1218b806d78c072a5b9dd2dfc26,szczecin,53.4285743,14.5525716,2.0,37.0,6.0,10.0,blockOfFlats,1970.0,0.8,sale,459000
eef3bb002e84fb2a8413d1259f0ef4d5,szczecin,53.4330962,14.5686108,3.0,77.71,3.0,3.0,tenement,1925.0,1.19,sale,599000
a01d82c9529f98a54d64b9e061c9a73b,szczecin,53.4274747,14.4872832,4.0,105.0,3.0,4.0,apartmentBuilding,2016.0,4.9,sale,1199999
77d0d9ae9322fbe79743a6d71a8c6c7a,szczecin,53.456111,14.493056,3.0,52.7,1.0,4.0,blockOfFlats,1977.0,5.78,sale,450000
93f030f7313dfeb2eee37a0d84750c81,szczecin,53.4243973559952,14.5529966398226,2.0,60.0,3.0,4.0,blockOfFlats,1970.0,0.54,sale,590000
0ec9cbbd446a25f6f2ab164bb9be2ec4,szczecin,53.399444,14.526111,2.0,55.13,3.0,4.0,blockOfFlats,2000.0,3.53,sale,479000
1a8d57334f9f369225d7bb9febf9b6d1,szczecin,53.4183,14.5412,4.0,109.0,4.0,4.0,blockOfFlats,2008.0,1.43,sale,1199000
8aa91be09e7ea6f2af020284ad7ec0ba,szczecin,53.3811677,14.6574151,3.0,66.82,4.0,10.0,blockOfFlats,1980.0,7.93,sale,529000
6e6ca265a8135b8798a0bdae5e921617,szczecin,53.3970831,14.5254429,3.0,52.97,4.0,4.0,blockOfFlats,1976.0,3.76,sale,450000
945fe25d75475445f050a7724944e95a,szczecin,53.428898,14.5338625,3.0,96.0,3.0,3.0,tenement,1935.0,1.9,sale,665000
0d352e673ca6493be489094fad00f22b,szczecin,53.3744283,14.6579538,4.0,76.7,7.0,10.0,blockOfFlats,1986.0,8.43,sale,569000
d222b6d12068d218e8f8ea91de456e66,szczecin,53.4065346,14.52471231,2.0,37.34,10.0,11.0,blockOfFlats,1970.0,3.05,sale,419000
13ed14f54b3504ecc3c7eae87cb34d8d,szczecin,53.4327830394222,14.5154391859077,2.0,44.9,4.0,4.0,blockOfFlats,2009.0,3.19,sale,525000
a7f482c31b57a69cff05e36b9e6c127b,szczecin,53.432222,14.555833,2.0,37.14,2.0,4.0,tenement,1930.0,1.04,sale,439000
